month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202111,20100,Dover, DE,246,353525,-0.0391,0.1578,299,-0.0229,-0.1542,59,0.1818,-0.3295,256,-0.0986,-0.0725,44,-0.3529,-0.5417,90,0.1842,0.1842,476,-0.0856,-0.1339,169,0.0148,0.1904,2067,-0.0239,0.0455,394955,0.0076,0.258,775,-0.0623,-0.1442,1.5903,-0.109,0.0373,0
202110,20100,Dover, DE,246,367900,0.0006,0.2267,306,0.0066,-0.1862,50,0.2692,-0.4244,284,-0.1394,-0.0139,68,0.5455,-0.2273,76,-0.2083,-0.05,520,-0.0925,-0.0424,167,0.009,0.1531,2117,-0.0063,0.0798,391964,-0.0135,0.282,826,-0.0582,-0.0903,1.6993,-0.1855,0.2552,0
202109,20100,Dover, DE,246,367675,-0.0122,0.2301,304,-0.0016,-0.2052,39,-0.0602,-0.4583,330,-0.1176,0.2313,44,-0.2667,-0.3333,96,0.0909,0.6,573,0.069,6.9034,165,0.0065,0.1585,2131,-0.0289,0.0914,397342,-0.0112,0.2915,877,0.0416,0.9169,1.8849,0.1246,1.6953,0
202108,20100,Dover, DE,246,372225,0.034,0.2618,305,0.1154,-0.2767,42,-0.1443,-0.3712,374,0.2986,0.4841,60,0,-0.4643,88,0.1579,0.375,536,0.0037,6.0526,164,0.014,0.1828,2194,0.0233,0.0813,401845,0.0764,0.3331,842,0.0447,0.6942,1.7603,-0.1958,1.5797,0
202107,20100,Dover, DE,246,360000,-0.005,0.2636,273,0.0769,-0.4271,49,-0.0202,-0.2016,288,-0.1325,-0.1818,60,-0.1176,-0.0909,76,0.8095,-0.0256,534,-0.0056,8.7982,162,0.0056,0.1842,2144,-0.0184,0.0638,373317,0.0066,0.2759,806,0.0254,0.5236,1.956,-0.1623,1.8417,0
202106,20100,Dover, DE,246,361824,0.0566,0.2703,254,0.3,-0.4543,50,0.2857,-0.4107,332,0.0779,0.071,68,-0.4333,0.8889,42,-0.0455,-0.4615,537,0.0132,8.4211,161,0.0046,0.1905,2184,0.0965,0.1088,370856,0.0496,0.2867,786,0.0947,0.4957,2.1183,-0.5996,1.9956,0
202105,20100,Dover, DE,246,342450,-0.0214,0.2323,195,-0.1136,-0.6092,39,-0.438,-0.5575,308,-0.0833,0.3276,120,-0.1304,3.2857,44,0.375,-0.2667,530,0.06,9,160,0.022,0.2126,1992,-0.0854,0.0143,353322,-0.0198,0.2513,718,-0.0014,0.3007,2.7179,0.4452,2.6117,1
202104,20100,Dover, DE,246,349925,0.0526,0.2534,220,0.0973,-0.5678,69,0.0703,-0.2058,336,0.2632,0.7684,138,0.6047,3.3125,32,0.2308,-0.4667,500,0.0929,9.5263,157,0.0067,0.1868,2178,0.0814,0.1176,360453,0.0395,0.2779,719,0.0902,0.2851,2.2727,-0.0091,2.1794,1
202103,20100,Dover, DE,246,332450,0.0438,0.1963,201,-0.1395,-0.6335,64,-0.1172,-0.1688,266,0.1982,-0.0828,86,0.1622,1.2632,26,-0.3158,-0.7347,458,0.0971,7.3182,156,0.0409,0.1802,2014,-0.0096,0.0542,346758,0.0592,0.2504,660,0.0241,0.0919,2.2818,0.4921,2.1812,0
202102,20100,Dover, DE,246,318494,0.0114,0.1586,233,0.0043,-0.5891,73,-0.1471,-0.2487,222,0.2065,-0.1048,74,0.4231,1.0556,38,-0.05,-0.6607,417,-0.0523,6.1897,150,0.0245,0.1346,2034,0.0203,0.0686,327366,0.0166,0.1969,644,-0.0388,0.0255,1.7897,-0.1069,1.6874,0
202101,20100,Dover, DE,246,314900,0.0244,0.1518,232,-0.2991,-0.6064,85,-0.1099,-0.2273,184,-0.0891,-0.1154,52,-0.3158,0.4444,40,-0.3103,-0.6,440,-0.1356,9.6024,146,0.0317,0.1248,1993,-0.0103,0.0395,322025,0.0303,0.1673,670,-0.2038,0.0618,1.8966,0.3588,1.8262,0
202012,20100,Dover, DE,246,307400,0.0067,0.1408,331,-0.0636,-0.475,96,0.0946,-0.1096,202,-0.2681,0.1882,76,-0.2083,4.4286,58,-0.2368,-0.1714,509,-0.0729,12.2208,142,-0.0037,0.0909,2014,0.0188,0.038,312543,-0.0045,0.1544,842,-0.0702,0.2635,1.5378,-0.0153,1.4767,0
202011,20100,Dover, DE,246,305350,0.0182,0.1313,354,-0.0598,-0.4794,87,0.0145,-0.0618,276,-0.0417,0.5,96,0.0909,5,76,-0.05,-0.5366,549,0.011,12.3902,142,-0.017,0.0962,1977,0.0082,0.0209,313948,0.0268,0.1539,905,-0.0033,0.2552,1.553,0.1089,1.4927,0
202010,20100,Dover, DE,246,299900,0.0033,0.0972,376,-0.017,-0.4582,86,0.1944,0,288,0.0746,-0.1377,88,0.3333,6.3333,80,0.3333,-0.5918,543,6.4897,9.86,145,0.0137,0.1088,1961,0.0044,0.003,305745,-0.0062,0.0997,908,0.9847,0.2237,1.4441,1.2546,1.3721,0
202009,20100,Dover, DE,246,298900,0.0132,0.0975,383,-0.0914,-0.4647,72,0.0909,-0.128,268,0.0635,-0.2597,66,-0.4107,3.125,60,-0.0625,-0.7,73,-0.0461,0.45,143,0.0276,0.089,1952,-0.0379,-0.0005,307662,0.0206,0.0951,458,-0.0795,-0.4016,0.1895,0.009,0.1196,0
202008,20100,Dover, DE,246,295000,0.0355,0.089,421,-0.1165,-0.4295,66,0.0864,-0.1824,252,-0.2841,-0.25,112,0.697,4.6,64,-0.1795,-0.6098,76,0.3945,0.5833,139,0.0152,0.0598,2029,0.0067,0.0404,301447,0.0303,0.0565,497,-0.0605,-0.3677,0.1805,0.0661,0.1155,0
202007,20100,Dover, DE,246,284900,0.0003,0.0554,477,0.0258,-0.3604,61,-0.2768,-0.2286,352,0.1355,0.1733,66,0.8333,1.5385,78,0,-0.4935,55,-0.0439,0.1354,137,0.011,0.0454,2016,0.0231,0.0296,292582,0.0151,0.0149,529,0.0067,-0.3325,0.1144,-0.0083,0.0499,0
202006,20100,Dover, DE,246,284823,0.0249,0.0534,465,-0.0691,-0.3723,84,-0.0345,0.12,310,0.3362,0.1232,36,0.2857,0,78,0.3,-0.5568,57,0.0755,0.14,135,0.0232,0.0376,1970,0.0031,0.0079,288215,0.0208,0.0089,526,-0.048,-0.334,0.1227,0.0165,0.0551,0
202005,20100,Dover, DE,246,277900,-0.0046,0.0222,499,-0.0196,-0.3293,87,0.0087,0.2254,232,0.2211,-0.3054,28,-0.125,0.5556,60,0,-0.6591,53,0.1158,0.0392,132,0.0002,0.0173,1964,0.0078,0.0015,282356,0.001,-0.0055,552,-0.0134,-0.3057,0.1062,0.0129,0.0377,0
202004,20100,Dover, DE,246,279173,0.0046,0.0443,509,-0.0695,-0.3103,86,0.1201,0.1253,190,-0.3448,-0.4444,32,-0.1579,0.1429,60,-0.3878,-0.6203,48,-0.1364,-0.0686,132,0.0011,0.0295,1949,0.02,-0.0233,282077,0.0172,0.0052,560,-0.0737,-0.2918,0.0933,-0.0072,0.0242,0
202003,20100,Dover, DE,246,277900,0.0109,0.0478,547,-0.0353,-0.2403,77,-0.2021,-0.2154,290,0.1694,-0.0068,38,0.0556,2.1667,98,-0.125,-0.1833,55,-0.0517,0.25,132,0.0006,0.0269,1911,0.0039,-0.0258,277316,0.0139,0.004,604,-0.0382,-0.2094,0.1005,-0.0017,0.0394,0
202002,20100,Dover, DE,246,274900,0.0055,0.0446,567,-0.0382,-0.1871,97,-0.1227,-0.1645,248,0.1923,0,36,0,1,112,0.12,-0.0508,58,0.3976,0.5065,132,0.0157,0.0265,1903,-0.0074,-0.003,273509,-0.0086,0.0048,628,-0.0048,-0.1432,0.1023,0.0319,0.0471,0
202001,20100,Dover, DE,246,273400,0.0147,0.0388,590,-0.065,-0.1897,110,0.0256,0.0092,208,0.2235,0.4648,36,1.5714,-0.3077,100,0.4286,-0.1379,42,0.0779,0.5962,130,0.0007,0.0175,1917,-0.0117,0.0104,275877,0.019,0.0204,631,-0.0526,-0.1592,0.0704,0.0093,0.0347,0
201912,20100,Dover, DE,246,269450,-0.0017,0.0363,631,-0.0714,-0.2206,107,0.1532,-0.0161,170,-0.0761,-0.0341,14,-0.125,-0.3,70,-0.5732,-0.4167,39,-0.061,0.75,130,0.0011,0.0389,1940,0.0021,0.0178,270743,-0.0049,0.0068,666,-0.0763,-0.1986,0.0611,0.0007,0.0339,0
201911,20100,Dover, DE,246,269900,-0.0126,0.0231,679,-0.0216,-0.2595,93,0.0814,-0.0412,184,-0.4491,-0.156,16,0.3333,-0.3333,164,-0.1633,0.0513,41,-0.18,1.1026,130,-0.0058,0.043,1936,-0.0096,0,272064,-0.0215,0.0109,721,-0.0283,-0.2301,0.0604,-0.0117,0.0391,0
